Time                           Lat
2022-01-12/11:13:00         -61.04
2022-01-12/11:14:00         -61.02
2022-01-12/11:15:00         -60.99
2022-01-12/11:16:00         -60.96
2022-01-12/11:17:00         -60.93
2022-01-12/11:18:00         -60.90
2022-01-12/11:19:00         -60.87
2022-01-12/11:20:00         -60.84
2022-01-12/11:21:00         -60.82
2022-01-12/11:22:00         -60.79
2022-01-12/11:23:00         -60.76
2022-01-12/11:24:00         -60.73
2022-01-12/11:25:00         -60.70
2022-01-12/11:26:00         -60.67
2022-01-12/11:27:00         -60.64
2022-01-12/11:28:00         -60.61
2022-01-12/11:29:00         -60.58
2022-01-12/11:30:00         -60.55
2022-01-12/11:31:00         -60.52
2022-01-12/11:32:00         -60.49
2022-01-12/11:33:00         -60.46
2022-01-12/11:34:00         -60.43
2022-01-12/11:35:00         -60.40
2022-01-12/11:36:00         -60.37
2022-01-12/11:37:00         -60.34
2022-01-12/11:38:00         -60.31
2022-01-12/11:39:00         -60.28
2022-01-12/11:40:00         -60.25
2022-01-12/11:41:00         -60.22
2022-01-12/11:42:00         -60.19
2022-01-12/11:43:00         -60.16
2022-01-12/11:44:00         -60.12
2022-01-12/11:45:00         -60.09
2022-01-12/11:46:00         -60.06
2022-01-12/11:47:00         -60.03
2022-01-12/11:48:00         -59.99
2022-01-12/11:49:00         -59.96
2022-01-12/11:50:00         -59.93
2022-01-12/11:51:00         -59.89
2022-01-12/11:52:00         -59.86
2022-01-12/11:53:00         -59.83
2022-01-12/11:54:00         -59.79
2022-01-12/11:55:00         -59.76
2022-01-12/11:56:00         -59.72
2022-01-12/11:57:00         -59.69
2022-01-12/11:58:00         -59.65
2022-01-12/11:59:00         -59.62
2022-01-12/12:00:00         -59.58
2022-01-12/12:01:00         -59.55
2022-01-12/12:02:00         -59.51
2022-01-12/12:03:00         -59.47
2022-01-12/12:04:00         -59.44
2022-01-12/12:05:00         -59.40
2022-01-12/12:06:00         -59.37
2022-01-12/12:07:00         -59.33
2022-01-12/12:08:00         -59.29
2022-01-12/12:09:00         -59.26
2022-01-12/12:10:00         -59.22
2022-01-12/12:11:00         -59.18
2022-01-12/12:12:00         -59.15
2022-01-12/12:13:00         -59.11
2022-01-12/12:14:00         -59.07
2022-01-12/12:15:00         -59.04
2022-01-12/12:16:00         -59.00
2022-01-12/12:17:00         -58.96
2022-01-12/12:18:00         -58.92
2022-01-12/12:19:00         -58.89
2022-01-12/12:20:00         -58.85
2022-01-12/12:21:00         -58.82
2022-01-12/12:22:00         -58.78
2022-01-12/12:23:00         -58.74
2022-01-12/12:24:00         -58.71
2022-01-12/12:25:00         -58.67
2022-01-12/12:26:00         -58.64
2022-01-12/12:27:00         -58.60
2022-01-12/12:28:00         -58.57
2022-01-12/12:29:00         -58.53
2022-01-12/12:30:00         -58.50
2022-01-12/12:31:00         -58.46
2022-01-12/12:32:00         -58.43
2022-01-12/12:33:00         -58.40
2022-01-12/12:34:00         -58.37
2022-01-12/12:35:00         -58.33
2022-01-12/12:36:00         -58.30
2022-01-12/12:37:00         -58.27
2022-01-12/12:38:00         -58.24
2022-01-12/12:39:00         -58.21
2022-01-12/12:40:00         -58.18
2022-01-12/12:41:00         -58.15
